Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,809.7248077392578,30.517578125,24650.3748053961,2000
cuda,751.5169067382812,30.517578125,26559.64200011159,2000
cpu,114.3956184387207,122.0703125,698628.3311437444,4000
cuda,9.807711601257324,122.0703125,8148691.891567698,4000
cpu,414.9186611175537,488.28125,770849.927883537,8000
cuda,28.133888244628906,488.28125,11368496.854005285,8000
cpu,571.882963180542,762.939453125,873955.0785362606,10000
cuda,24.995616912841797,762.939453125,19995506.481907304,10000
cpu,932.875394821167,1098.6328125,771550.0097823661,12000
cuda,37.90998458862305,1098.6328125,18986027.765782926,12000
cpu,1365.3528690338135,1716.61376953125,823743.1110361159,15000
cuda,50.15740966796875,1716.61376953125,22423407.178426318,15000
cpu,1332.7054977416992,1953.125,960212.1565255398,16000
cuda,62.038848876953125,1953.125,20627075.504545502,16000
