Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,1582.078218460083,30.517578125,12616.329437509165,2000
cuda,640.795654296875,30.517578125,31148.806746983177,2000
cpu,119.28153038024902,122.0703125,670011.6920467797,4000
cuda,21.606143951416016,122.0703125,3698948.788812556,4000
cpu,500.8726119995117,488.28125,638565.5999899467,8000
cuda,86.86659240722656,488.28125,3681968.074684049,8000
cpu,681.865930557251,762.939453125,732988.6970471473,10000
cuda,262.6944274902344,762.939453125,1902590.8725017777,10000
cpu,751.1773109436035,1098.6328125,958175.9319858341,12000
cuda,373.66668701171875,1098.6328125,1926208.6908417053,12000
cpu,1505.157709121704,1716.61376953125,747230.6810003914,15000
cuda,593.45751953125,1716.61376953125,1895165.1684999436,15000
cpu,1849.3952751159668,1953.125,691945.1115823562,16000
cuda,2258.034423828125,1953.125,566722.9899137293,16000
