Device,Execution Time,Memory Usage,Throughput,Array Size
cpu,1436.8574619293213,30.517578125,13891.440542194734,2000
cuda,444.8754577636719,30.517578125,44866.534333757794,2000
cpu,130.96284866333008,122.0703125,610249.554096465,4000
cuda,9.496992111206055,122.0703125,8415298.134837631,4000
cpu,959.8777294158936,488.28125,333209.1267443298,8000
cuda,37.2724494934082,488.28125,8581137.65923984,8000
cpu,895.0095176696777,762.939453125,558429.8380438696,10000
cuda,90.05120086669922,762.939453125,5550176.068610598,10000
cpu,1261.965036392212,1098.6328125,570348.6223815653,12000
cuda,132.7415008544922,1098.6328125,5422268.20825977,12000
cpu,1709.0060710906982,1716.61376953125,658101.8283230612,15000
cuda,151.23680114746094,1716.61376953125,7436682.153197487,15000
cpu,1812.1287822723389,1953.125,706174.987406431,16000
cuda,228.8311309814453,1953.125,5592246.188320252,16000
